理由,ソース,確認,ページ
見つかりませんでした（404）,ウェブサイト,失敗しました,322
ページにリダイレクトがあります,ウェブサイト,失敗しました,19
重複しています。Google により、ユーザーがマークしたページとは異なるページが正規ページとして選択されました,Google システム,失敗しました,11059
代替ページ（適切な canonical タグあり）,ウェブサイト,開始前,237
noindex タグによって除外されました,ウェブサイト,開始前,7
リダイレクト エラー,ウェブサイト,開始,11434
サーバーエラー（5xx）,ウェブサイト,開始,4
クロール済み - インデックス未登録,Google システム,開始,5361
重複しています。ユーザーにより、正規ページとして選択されていません,ウェブサイト,合格,1
ソフト 404,ウェブサイト,合格,0
検出 - インデックス未登録,Google システム,合格,0
